"","Date","ID","Parameter","Value","Unit"
"1",2001-05-16,"CALWR_WQX-D8144000","Total dissolved solids",681,"mg/l"
"2",2001-11-15,"CALWR_WQX-D8144000","Total dissolved solids",758,"mg/l"
"3",2001-05-16,"CALWR_WQX-D8156500","Total dissolved solids",506,"mg/l"
"4",2001-11-15,"CALWR_WQX-D8156500","Total dissolved solids",560,"mg/l"
"5",2002-05-07,"CALWR_WQX-D8156500","Total dissolved solids",547,"mg/l"
"6",2017-05-18,"CEDEN-314CACHLK","Ammonia",-0.03,"mg/l"
"7",2017-05-18,"CEDEN-314CACHLK","Nitrate",0.85,"mg/l"
"8",2008-01-24,"CEDEN-314DDE","Ammonia",0.001205,"mg/l"
"9",2008-01-24,"CEDEN-314DDE","Ammonia",0.095,"mg/l"
"10",2008-01-24,"CEDEN-314DDE","Total dissolved solids",560,"mg/l"
"11",2008-02-26,"CEDEN-314DDE","Ammonia",0.092426,"mg/l"
"12",2008-02-26,"CEDEN-314DDE","Total dissolved solids",746,"mg/l"
"13",2008-02-26,"CEDEN-314DDE","Ammonia",0.152,"mg/l"
"14",2008-03-25,"CEDEN-314DDE","Ammonia",0.038631,"mg/l"
"15",2008-03-25,"CEDEN-314DDE","Ammonia",0.228,"mg/l"
"16",2008-03-25,"CEDEN-314DDE","Total dissolved solids",1580,"mg/l"
"17",2008-04-24,"CEDEN-314DDE","Ammonia",2.76,"mg/l"
"18",2008-04-24,"CEDEN-314DDE","Ammonia",0.230964,"mg/l"
"19",2008-04-24,"CEDEN-314DDE","Total dissolved solids",1070,"mg/l"
"20",2008-05-27,"CEDEN-314DDE","Ammonia",0.086018,"mg/l"
"21",2008-05-27,"CEDEN-314DDE","Ammonia",0.413,"mg/l"
"22",2008-05-27,"CEDEN-314DDE","Total dissolved solids",1670,"mg/l"
"23",2008-06-24,"CEDEN-314DDE","Total dissolved solids",1860,"mg/l"
"24",2008-06-24,"CEDEN-314DDE","Ammonia",0.566,"mg/l"
"25",2008-06-24,"CEDEN-314DDE","Ammonia",0.049173,"mg/l"
"26",2008-07-29,"CEDEN-314DDE","Ammonia",0.025217,"mg/l"
"27",2008-07-29,"CEDEN-314DDE","Ammonia",0.11,"mg/l"
"28",2008-07-29,"CEDEN-314DDE","Total dissolved solids",1140,"mg/l"
"29",2008-08-14,"CEDEN-314DDE","Ammonia",0.295154,"mg/l"
"30",2008-08-14,"CEDEN-314DDE","Ammonia",7.65,"mg/l"
"31",2008-08-14,"CEDEN-314DDE","Total dissolved solids",1420,"mg/l"
"32",2008-09-23,"CEDEN-314DDE","Ammonia",0.038241,"mg/l"
"33",2008-09-23,"CEDEN-314DDE","Ammonia",0.116,"mg/l"
"34",2008-09-23,"CEDEN-314DDE","Total dissolved solids",983,"mg/l"
"35",2008-10-28,"CEDEN-314DDE","Total dissolved solids",852,"mg/l"
"36",2008-10-28,"CEDEN-314DDE","Ammonia",0.795301,"mg/l"
"37",2008-10-28,"CEDEN-314DDE","Ammonia",0.991,"mg/l"
