"","SiteInfo_c","SiteInfo_1","SiteInfo_2","SiteInfo_3","SiteInfo_4","SiteInfo_5","Filtered_M","Filtered_1","Filtered_2","Filtered_3","Filtered_4","Filtered_5","ID","Organization","Parameter","min","max","geometry"
"1",1,"CALWR_WQX-D8144000","SANTA YNEZ R A SOLVANG","SANTA YNEZ R A SOLVANG",34.585,-120.1463,1,2001-05-16,"CALWR_WQX-D8144000","Total dissolved solids",681,"mg/l","CALWR_WQX-D8144000","California Department Of Water Resources","Total dissolved solids",2001-05-16,2001-11-15,c(-120.1463, 34.585)
"2",2,"CALWR_WQX-D8156500","CACHUMA RES NR SANTA YNEZ","CACHUMA RES NR SANTA YNEZ",34.588,-119.9765,3,2001-05-16,"CALWR_WQX-D8156500","Total dissolved solids",506,"mg/l","CALWR_WQX-D8156500","California Department Of Water Resources","Total dissolved solids",2001-05-16,2002-05-07,c(-119.9765, 34.588)
"3",3,"CEDEN-314CACHLK","Lake Cachuma at marina doc","Lake Cachuma at marina doc",34.5785,-119.957,6,2017-05-18,"CEDEN-314CACHLK","Ammonia",0,"mg/l","CEDEN-314CACHLK","California State Water Resources Control Board","Ammonia",2017-05-18,2017-05-18,c(-119.957, 34.5785)
"4",3,"CEDEN-314CACHLK","Lake Cachuma at marina doc","Lake Cachuma at marina doc",34.5785,-119.957,6,2017-05-18,"CEDEN-314CACHLK","Ammonia",0,"mg/l","CEDEN-314CACHLK","California State Water Resources Control Board","Nitrate",2017-05-18,2017-05-18,c(-119.957, 34.5785)
"5",4,"CEDEN-314DDE","Canal Trib to Santa Ynez River @ W Central Ave","Canal Trib to Santa Ynez River @ W Central Ave",34.6615,-120.514,8,2008-01-24,"CEDEN-314DDE","Ammonia",0,"mg/l","CEDEN-314DDE","California State Water Resources Control Board","Ammonia",2008-01-24,2008-12-16,c(-120.514, 34.6615)
"6",4,"CEDEN-314DDE","Canal Trib to Santa Ynez River @ W Central Ave","Canal Trib to Santa Ynez River @ W Central Ave",34.6615,-120.514,8,2008-01-24,"CEDEN-314DDE","Ammonia",0,"mg/l","CEDEN-314DDE","California State Water Resources Control Board","Total dissolved solids",2008-01-24,2008-12-16,c(-120.514, 34.6615)
"7",5,"CEDEN-314MCM","Miguelito Creek mouth @ treatment plant","Miguelito Creek mouth @ treatment plant",34.6633,-120.479,41,2008-01-24,"CEDEN-314MCM","Ammonia",0,"mg/l","CEDEN-314MCM","California State Water Resources Control Board","Ammonia",2008-01-24,2008-12-16,c(-120.479, 34.6633)
"8",5,"CEDEN-314MCM","Miguelito Creek mouth @ treatment plant","Miguelito Creek mouth @ treatment plant",34.6633,-120.479,41,2008-01-24,"CEDEN-314MCM","Ammonia",0,"mg/l","CEDEN-314MCM","California State Water Resources Control Board","Total dissolved solids",2008-01-24,2008-12-16,c(-120.479, 34.6633)
"9",6,"CEDEN-314MIG","San Miguelito Creek at W. North Avenue","San Miguelito Creek at W. North Avenue",34.6535,-120.474,77,2001-01-18,"CEDEN-314MIG","Ammonia",0,"mg/l","CEDEN-314MIG","California State Water Resources Control Board","Ammonia",2001-01-18,2014-12-17,c(-120.474, 34.6535)
"10",6,"CEDEN-314MIG","San Miguelito Creek at W. North Avenue","San Miguelito Creek at W. North Avenue",34.6535,-120.474,77,2001-01-18,"CEDEN-314MIG","Ammonia",0,"mg/l","CEDEN-314MIG","California State Water Resources Control Board","Nitrate",2001-01-18,2014-12-17,c(-120.474, 34.6535)
"11",6,"CEDEN-314MIG","San Miguelito Creek at W. North Avenue","San Miguelito Creek at W. North Avenue",34.6535,-120.474,77,2001-01-18,"CEDEN-314MIG","Ammonia",0,"mg/l","CEDEN-314MIG","California State Water Resources Control Board","Total dissolved solids",2001-01-18,2014-12-17,c(-120.474, 34.6535)
"12",7,"CEDEN-314SAL","Salsipuedes Creek @ Santa Rosa Rd","Salsipuedes Creek @ Santa Rosa Rd",34.6218,-120.421,198,2001-01-18,"CEDEN-314SAL","Total dissolved solids",975,"mg/l","CEDEN-314SAL","California State Water Resources Control Board","Ammonia",2001-01-18,2014-12-17,c(-120.421, 34.6218)
"13",7,"CEDEN-314SAL","Salsipuedes Creek @ Santa Rosa Rd","Salsipuedes Creek @ Santa Rosa Rd",34.6218,-120.421,198,2001-01-18,"CEDEN-314SAL","Total dissolved solids",975,"mg/l","CEDEN-314SAL","California State Water Resources Control Board","Nitrate",2001-01-18,2014-12-17,c(-120.421, 34.6218)
"14",7,"CEDEN-314SAL","Salsipuedes Creek @ Santa Rosa Rd","Salsipuedes Creek @ Santa Rosa Rd",34.6218,-120.421,198,2001-01-18,"CEDEN-314SAL","Total dissolved solids",975,"mg/l","CEDEN-314SAL","California State Water Resources Control Board","Total dissolved solids",2001-01-18,2014-12-17,c(-120.421, 34.6218)
"15",8,"CEDEN-314SYC","Santa Ynez River d/s Lake Cachuma at Highway 154","Santa Ynez River d/s Lake Cachuma at Highway 154",34.588,-120.027,420,2001-01-18,"CEDEN-314SYC","Total dissolved solids",110,"mg/l","CEDEN-314SYC","California State Water Resources Control Board","Ammonia",2001-02-12,2014-12-17,c(-120.027, 34.588)
"16",8,"CEDEN-314SYC","Santa Ynez River d/s Lake Cachuma at Highway 154","Santa Ynez River d/s Lake Cachuma at Highway 154",34.588,-120.027,420,2001-01-18,"CEDEN-314SYC","Total dissolved solids",110,"mg/l","CEDEN-314SYC","California State Water Resources Control Board","Nitrate",2001-01-18,2014-12-17,c(-120.027, 34.588)
"17",8,"CEDEN-314SYC","Santa Ynez River d/s Lake Cachuma at Highway 154","Santa Ynez River d/s Lake Cachuma at Highway 154",34.588,-120.027,420,2001-01-18,"CEDEN-314SYC","Total dissolved solids",110,"mg/l","CEDEN-314SYC","California State Water Resources Control Board","Total dissolved solids",2001-01-18,2014-12-17,c(-120.027, 34.588)
"18",9,"CEDEN-314SYF","Santa Ynez River at Floradale Rd","Santa Ynez River at Floradale Rd",34.6721,-120.492,597,2001-01-18,"CEDEN-314SYF","Total dissolved solids",965,"mg/l","CEDEN-314SYF","California State Water Resources Control Board","Ammonia",2001-01-18,2019-04-29,c(-120.492, 34.6721)
"19",9,"CEDEN-314SYF","Santa Ynez River at Floradale Rd","Santa Ynez River at Floradale Rd",34.6721,-120.492,597,2001-01-18,"CEDEN-314SYF","Total dissolved solids",965,"mg/l","CEDEN-314SYF","California State Water Resources Control Board","Nitrate",2001-01-18,2014-12-17,c(-120.492, 34.6721)
